127.0.0.1 - - [31/Jul/2025:09:24:54 +0900] "GET / HTTP/1.1" 200 116
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/quickview.html?screenid=Phone_screen&formname=Base::RP_103195_calendar_test.xfdl HTTP/1.1" 200 10645
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/SystemBase.js HTTP/1.1" 200 404485
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/LocaleSupport.js HTTP/1.1" 200 88151
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/ErrorDefine.js HTTP/1.1" 200 39420
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/SystemBase_HTML5.js HTTP/1.1" 200 787413
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/BasicObjs.js HTTP/1.1" 200 123665
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/SystemBase_Runtime.js HTTP/1.1" 200 272763
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Platform_HTML5.js HTTP/1.1" 200 244131
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Platform_Runtime.js HTTP/1.1" 200 83507
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Platform.js HTTP/1.1" 200 699059
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/CssObjs.js HTTP/1.1" 200 56520
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Device.js HTTP/1.1" 200 28091
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Device_Android.js HTTP/1.1" 200 1483
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Device_Windows.js HTTP/1.1" 200 2115
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Device_iOS.js HTTP/1.1" 200 8506
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/framework/Crypto.js HTTP/1.1" 200 150571
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/component/CompBase/Element_Runtime.js HTTP/1.1" 200 463127
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/component/CompBase/Element_HTML5.js HTTP/1.1" 200 850867
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/component/CompBase/CompBase.js HTTP/1.1" 200 261196
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/component/CompBase/CompEventBase.js HTTP/1.1" 200 241688
172.10.12.45 - - [31/Jul/2025:10:06:32 +0900] "GET /nexacroN/master_21/testmaster_21/nexacrolib/component/CompBase/Data.js HTTP/1.1" 200 731542
